Implementation,Function,Size,Processes,AvgTime
SEQ,transpose,32,1,0.000002253
SEQ,transpose,64,1,0.000009517
SEQ,transpose,128,1,0.000040468
SEQ,transpose,256,1,0.000166352
SEQ,transpose,512,1,0.001055678
SEQ,transpose,1024,1,0.003858941
SEQ,transpose,2048,1,0.048541203
SEQ,transpose,4096,1,0.252640817
OMP,transpose,32,2,0.000010
OMP,transpose,32,4,0.000017
OMP,transpose,32,8,0.000020
OMP,transpose,32,16,0.000035
OMP,transpose,32,32,0.000055
OMP,transpose,32,64,0.000866
OMP,transpose,64,2,0.000026
OMP,transpose,64,4,0.000034
OMP,transpose,64,8,0.000034
OMP,transpose,64,16,0.000037
OMP,transpose,64,32,0.000052
OMP,transpose,64,64,0.000256
OMP,transpose,128,2,0.000082
OMP,transpose,128,4,0.000070
OMP,transpose,128,8,0.000064
OMP,transpose,128,16,0.000067
OMP,transpose,128,32,0.000081
OMP,transpose,128,64,0.000206
OMP,transpose,256,2,0.000341
OMP,transpose,256,4,0.000239
OMP,transpose,256,8,0.000188
OMP,transpose,256,16,0.000172
OMP,transpose,256,32,0.000187
OMP,transpose,256,64,0.000735
OMP,transpose,512,2,0.001398
OMP,transpose,512,4,0.000974
OMP,transpose,512,8,0.000705
OMP,transpose,512,16,0.000748
OMP,transpose,512,32,0.000581
OMP,transpose,512,64,0.000796
OMP,transpose,1024,2,0.005798
OMP,transpose,1024,4,0.003421
OMP,transpose,1024,8,0.002192
OMP,transpose,1024,16,0.001577
OMP,transpose,1024,32,0.001342
OMP,transpose,1024,64,0.003031
OMP,transpose,2048,2,0.025730
OMP,transpose,2048,4,0.014005
OMP,transpose,2048,8,0.008248
OMP,transpose,2048,16,0.006365
OMP,transpose,2048,32,0.005144
OMP,transpose,2048,64,0.005393
OMP,transpose,4096,2,0.102881
OMP,transpose,4096,4,0.053067
OMP,transpose,4096,8,0.034815
OMP,transpose,4096,16,0.022614
OMP,transpose,4096,32,0.018149
OMP,transpose,4096,64,0.017811
MPI simple,transpose,32,2,0.000002379
MPI simple,transpose,32,4,0.000002322
MPI simple,transpose,32,8,0.000002332
MPI simple,transpose,32,16,0.000002418
MPI simple,transpose,32,32,0.000002780
MPI simple,transpose,64,2,0.000005751
MPI simple,transpose,64,4,0.000005994
MPI simple,transpose,64,8,0.000005918
MPI simple,transpose,64,16,0.000006204
MPI simple,transpose,64,32,0.000006628
MPI simple,transpose,64,64,0.000008116
MPI simple,transpose,128,2,0.000016294
MPI simple,transpose,128,4,0.000016227
MPI simple,transpose,128,8,0.000017943
MPI simple,transpose,128,16,0.000017910
MPI simple,transpose,128,32,0.000018439
MPI simple,transpose,128,64,0.000023661
MPI simple,transpose,256,2,0.000065508
MPI simple,transpose,256,4,0.000078044
MPI simple,transpose,256,8,0.000069723
MPI simple,transpose,256,16,0.000073128
MPI simple,transpose,256,32,0.000074434
MPI simple,transpose,256,64,0.000092363
MPI simple,transpose,512,2,0.000853343
MPI simple,transpose,512,4,0.000868263
MPI simple,transpose,512,8,0.000885925
MPI simple,transpose,512,16,0.000848022
MPI simple,transpose,512,32,0.000947609
MPI simple,transpose,512,64,0.001017652
MPI simple,transpose,1024,2,0.003581934
MPI simple,transpose,1024,4,0.004218583
MPI simple,transpose,1024,8,0.003764510
MPI simple,transpose,1024,16,0.003812218
MPI simple,transpose,1024,32,0.004339004
MPI simple,transpose,1024,64,0.005584288
MPI simple,transpose,2048,2,0.052490764
MPI simple,transpose,2048,4,0.054672723
MPI simple,transpose,2048,8,0.056364527
MPI simple,transpose,2048,16,0.053995957
MPI simple,transpose,2048,32,0.062256665
MPI simple,transpose,2048,64,0.065817599
MPI simple,transpose,4096,2,0.371026597
MPI simple,transpose,4096,4,0.370331588
MPI simple,transpose,4096,8,0.379145155
MPI simple,transpose,4096,16,0.368738885
MPI simple,transpose,4096,32,0.377824955
MPI simple,transpose,4096,64,0.388183746
MPI block point2point,transpose,32,2,0.000001464
MPI block point2point,transpose,32,4,0.000000854
MPI block point2point,transpose,32,8,0.000000458
MPI block point2point,transpose,32,16,0.000000386
